,ts,record_id,user_authority,user,direction,collateral_before,cumulative_deposits_before,amount
2022-01-10 16:55:53.243388,2022-01-10 11:26:49-05:00,17127,3nY1GdTxZLu5vBVWHC5CVeaLwZs9jpfyFP7H1JNcFLxJ,EBWD5FcQjmXDTRXorEpANNiPj3AnCTZWXuXQS9Cdfm4g,DepositDirection.DEPOSIT(),746721,2021000000,5000000000
2022-01-10 16:55:53.243388,2022-01-10 11:27:11-05:00,17128,2yH4iJWVSDWHGjm5J95sbsRbHGA81VNPaox8xz8DWQaG,EHUYNPTqdUDGi3TBrr5BjDByCzLKq27CECCFUNyGRbQR,DepositDirection.DEPOSIT(),185,-1231920000,11231000000
2022-01-10 16:55:53.243388,2022-01-10 11:36:02-05:00,17129,CdSCdVLjzcciAoiimkumrJGHAikyMuWs5eZNNFE5DjoT,cgUgJyP2PKBCnrWMNTqY9NT66Rm2XvLdPCPZ4kC848a,DepositDirection.DEPOSIT(),10156984180,10071000000,5000000000
2022-01-10 16:55:53.243388,2022-01-10 11:37:10-05:00,17130,4EoUCi6SK8hsNbwANugsaRhV7eTncy2h32W6FHY5Rsq3,3bHQAhGKGefGWokJUQgWieDa5UX1zNAUnpSADrzjeZ1J,DepositDirection.WITHDRAW(),433669704,414980000,433660000
2022-01-10 16:55:53.243388,2022-01-10 11:45:17-05:00,17131,9LKDcCdfJuuna59MrzT7X5xaRcitedYFgndtDjomG5oV,FjenNYMSAv67dSKuZvpSFKCbRgtdUePDYY27XRcK1Pcr,DepositDirection.DEPOSIT(),0,0,406000000
2022-01-10 16:55:53.243388,2022-01-10 11:51:30-05:00,17132,8MKNsuGVaoYpdQy6NNyxDvRzh2DAquBUtri4nDsixUxs,D7M1SDmpZAs8vdPCCCa96UbDF15YQDxHmoGWB57tHiir,DepositDirection.DEPOSIT(),476678786,334000000,1000000000
2022-01-10 16:55:53.243388,2022-01-10 11:52:48-05:00,17133,9LKDcCdfJuuna59MrzT7X5xaRcitedYFgndtDjomG5oV,FjenNYMSAv67dSKuZvpSFKCbRgtdUePDYY27XRcK1Pcr,DepositDirection.WITHDRAW(),400537583,406000000,400530000
2022-01-10 16:55:53.243388,2022-01-10 11:54:54-05:00,17134,33k5A8CLjGgpdNCdfatz78icacbZB13Wc5sJKcr5EJc8,Cfei4cP2WeYNi2sUMUNK76qaH4hBam5cgi8mLD2413PT,DepositDirection.DEPOSIT(),0,0,421000000
2022-01-10 17:21:31.221744,2022-01-10 11:59:41-05:00,17135,33k5A8CLjGgpdNCdfatz78icacbZB13Wc5sJKcr5EJc8,Cfei4cP2WeYNi2sUMUNK76qaH4hBam5cgi8mLD2413PT,DepositDirection.WITHDRAW(),410148360,421000000,410140000
2022-01-10 17:21:31.221744,2022-01-10 12:01:51-05:00,17136,6q9n8ffgCZBhfNsNXsrPfiQfrVqAvpcFN5Gn6WN6Et1y,CwsmThpEpmmAsSZPX8YnF1ZKv92aPZzniUkt5qYmMV5P,DepositDirection.DEPOSIT(),0,0,410000000
2022-01-10 17:21:31.221744,2022-01-10 12:17:23-05:00,17137,6q9n8ffgCZBhfNsNXsrPfiQfrVqAvpcFN5Gn6WN6Et1y,CwsmThpEpmmAsSZPX8YnF1ZKv92aPZzniUkt5qYmMV5P,DepositDirection.WITHDRAW(),394468354,410000000,394460000
2022-01-10 17:21:31.221744,2022-01-10 12:20:26-05:00,17138,9qYii6HyNGamj9UGjqAfqmKBWqre2TTzT1fd6NEMZjNZ,GJyPY6fYyFn4oeBZTXwiaxgwEGcLw9duD4CE4TnJBGXm,DepositDirection.DEPOSIT(),0,0,395000000
2022-01-10 17:42:14.671314,2022-01-10 12:21:19-05:00,17139,EQtJKfMjVmSoAwv9q5D34Do1YmSBxjsveMisDQT97nQM,4pTz3qg8kr3jxC7fgD8TDDueEahnjRiehwgGzvMenSuJ,DepositDirection.WITHDRAW(),1695215978,-600000000,200000000
2022-01-10 17:42:14.671314,2022-01-10 12:23:28-05:00,17140,DpHu9SpUncfZjwDqHvD2veKj2sHXxTKey37ASKACFtyH,2P22S2zFDnVRJatqRuA6LN1xMMhUQ74nMngG8Arah1Xi,DepositDirection.WITHDRAW(),1630045588,-900000000,200000000
2022-01-10 17:42:14.671314,2022-01-10 12:34:23-05:00,17141,5SeNtCBx15SLG7VHKh1g5Ntj3pBUvo5ik1RBMz6uWsD7,DNRyxQcKJ55jxkRNQmSAgw8unUwuqvEr8fHP3YegDKZq,DepositDirection.WITHDRAW(),15315387971,11595823955,2841920914
2022-01-10 17:53:31.151258,2022-01-10 12:42:41-05:00,17142,AjWmfCCEM7udUFVZh7GB9sYFN62LSZFg84XB7KiKPf5k,FoGyskkx9z3kotsQcLJhGUgzqJZZ9P4ehFVXF8axJ1hF,DepositDirection.DEPOSIT(),297785652,299000000,120000000
2022-01-10 17:53:31.151258,2022-01-10 12:51:33-05:00,17143,4z9n4WWgP9YyskTSy78mPUCCBD82DF4qth2vgTxCngRu,7UjLYSdm83RCCGzNeCi3DGUq24Fz9TNH3waj4Y4525Vc,DepositDirection.DEPOSIT(),0,0,10000000
2022-01-10 18:41:10.513283,2022-01-10 13:31:20-05:00,17144,3qW3RdrVvxjuzFbacx41tTYQBrtLWdQymPWyTs6o2RhH,2PBtj9o3PVtyHCKyUT7GRd6rq7ucsh6X2bDjhj7zb5wv,DepositDirection.DEPOSIT(),0,0,33000000000
2022-01-10 18:41:10.513283,2022-01-10 13:35:25-05:00,17145,CajoTg8h8547HPywDhD5mxEBm77ffM6VHsrqzU122VAm,6RFmZd6A4ttJ3AifJEsWymCJL6t9w3cSD3dmsFx2r5Ga,DepositDirection.DEPOSIT(),0,0,10000000
2022-01-10 18:41:10.513283,2022-01-10 13:37:42-05:00,17146,CajoTg8h8547HPywDhD5mxEBm77ffM6VHsrqzU122VAm,6RFmZd6A4ttJ3AifJEsWymCJL6t9w3cSD3dmsFx2r5Ga,DepositDirection.DEPOSIT(),10000000,10000000,20000000
2022-01-10 18:54:42.092750,2022-01-10 13:42:05-05:00,17147,5SeNtCBx15SLG7VHKh1g5Ntj3pBUvo5ik1RBMz6uWsD7,DNRyxQcKJ55jxkRNQmSAgw8unUwuqvEr8fHP3YegDKZq,DepositDirection.DEPOSIT(),12481990538,8753903041,1659628562
2022-01-10 19:00:56.121047,2022-01-10 13:59:42-05:00,17148,CajoTg8h8547HPywDhD5mxEBm77ffM6VHsrqzU122VAm,6RFmZd6A4ttJ3AifJEsWymCJL6t9w3cSD3dmsFx2r5Ga,DepositDirection.DEPOSIT(),29985976,30000000,100000000
2022-01-10 19:00:56.121047,2022-01-10 13:59:42-05:00,17149,9RHywwguv9yVRsNUYtrgccrYREsFjMZnhk3uYQMVGA5m,FwcM6VySHrAs8AZvbfyu5c7iQXYhxKuwJv4fsGdTRk7p,DepositDirection.DEPOSIT(),20303189382,19167900000,14810000000
2022-01-10 19:00:56.121047,2022-01-10 14:00:35-05:00,17150,CajoTg8h8547HPywDhD5mxEBm77ffM6VHsrqzU122VAm,6RFmZd6A4ttJ3AifJEsWymCJL6t9w3cSD3dmsFx2r5Ga,DepositDirection.DEPOSIT(),129985976,130000000,100000000
2022-01-10 19:15:26.169862,2022-01-10 14:04:32-05:00,17151,CajoTg8h8547HPywDhD5mxEBm77ffM6VHsrqzU122VAm,6RFmZd6A4ttJ3AifJEsWymCJL6t9w3cSD3dmsFx2r5Ga,DepositDirection.WITHDRAW(),229985976,230000000,29000000
2022-01-10 19:15:26.169862,2022-01-10 14:04:36-05:00,17152,52Ltp8Q1auhMLZiRBDiFSpwk2xcjgPGKNUmHG9UqPCub,GsDi8m9pu6XG1TCZzM7AFsUGMLTYGiVBFyD9KTCPTW8s,DepositDirection.DEPOSIT(),0,0,204000000
2022-01-10 19:15:26.169862,2022-01-10 14:05:20-05:00,17153,s3MwEMLs777XFqetPJT55cw8NYXg8uHqr6Bnxdvq3bE,GN2D9JsJ8oXhSHXTvvWnoXDfv8JLVYx3ZGNwjAV2Dd3j,DepositDirection.DEPOSIT(),9151,-1170000,6000000
2022-01-10 19:15:26.169862,2022-01-10 14:07:19-05:00,17154,CajoTg8h8547HPywDhD5mxEBm77ffM6VHsrqzU122VAm,6RFmZd6A4ttJ3AifJEsWymCJL6t9w3cSD3dmsFx2r5Ga,DepositDirection.DEPOSIT(),200878792,201000000,310000000
2022-01-10 19:15:26.169862,2022-01-10 14:13:13-05:00,17155,Ch2r6gTY9kS6QasuacxTCD5kyPqyQ85fqwfGWpZy3WMy,ACQSMw2oZyXyW7teKD2ujHfxBs5QZh2p772cqocsSXPw,DepositDirection.DEPOSIT(),8092106098,11776960000,2009000000
2022-01-10 19:15:26.169862,2022-01-10 14:13:22-05:00,17156,5HWWS2cYGhFMWnCu9E8UsBd8Kp6P2idQKQYN5uXBRDdi,AmGS1HY6Jx8tTjeZx737GhEkgFeEgqsRcBjowYjrXLQ5,DepositDirection.DEPOSIT(),0,0,1000000000
2022-01-10 19:15:26.169862,2022-01-10 14:14:02-05:00,17157,CajoTg8h8547HPywDhD5mxEBm77ffM6VHsrqzU122VAm,6RFmZd6A4ttJ3AifJEsWymCJL6t9w3cSD3dmsFx2r5Ga,DepositDirection.WITHDRAW(),507708983,511000000,507700000
2022-01-10 20:51:26.986245,2022-01-10 15:46:32-05:00,17158,H69q3Q8E74xm7swmMQpsJLVp2Q9JuBwBbxraAMX5Drzm,5RiCCwr1YLn1136t6pprm9FAvcrJNG8VA394CYHpYbtA,DepositDirection.WITHDRAW(),10586259710,-4409579999,5586250000
2022-01-10 20:57:42.323479,2022-01-10 15:53:50-05:00,17159,Fu6KoBDtboY9wGRLcqoPSvwRo7oxdQDuUPoBXC5kgNZ4,5c5G7rLZNE6TFB5VwX2QPAvybfpHLZ22Vf7F8bfBA3Zk,DepositDirection.DEPOSIT(),0,0,51000000
2022-01-10 21:10:38.169368,2022-01-10 16:04:36-05:00,17160,9Yy9uPhRCcw3ehzFQKusikc6r7PANMAPSJ8C3e7CHEvm,CR6mDxUNDrtddqBgi3mvReF3ndxi2RoVgK9rKQi9DnkZ,DepositDirection.WITHDRAW(),518218319,625900000,83000000
2022-01-10 21:26:18.083567,2022-01-10 16:14:31-05:00,17161,3dd4SQuqyvZEvnnHX3HvxeELmXhZ9hMpSyqCxZwqH9RP,CnzSwaMkruVmTGivoP3YmwZgk6E3JQmkY3iR9HKZ3GS6,DepositDirection.DEPOSIT(),9866,432810000,30000000
2022-01-10 21:26:18.083567,2022-01-10 16:26:01-05:00,17162,93AGRvU9jLpCXC9sLZbbzUWE5CAxqyrmDC5uErSVbBfP,F6pPSqZa7UFyrwWQNtkriEjZoCaqogqpKsUg4xPVxAsU,DepositDirection.DEPOSIT(),8929,-37350000,471000000
2022-01-10 21:35:25.554411,2022-01-10 16:26:44-05:00,17163,CgxZXtsxPrPtr1Ns5oU9jThwAKfXJTPpMCV1c5cT17pB,FkWpnrpyLswVFDbtufkE4HUuvtEJqq9VdpprAqmdqiBE,DepositDirection.DEPOSIT(),0,0,211000000
2022-01-10 21:35:25.554411,2022-01-10 16:27:49-05:00,17164,BSDeCyJsPs6y1pbDVHNq5rs6tdxcrbY3NDjXPBxwRjHz,DjHD3jawBVikzjcQ5dXBRLdUmEeBHKt6JZLhvmjScDku,DepositDirection.WITHDRAW(),10630587213,22941970000,1000000000
2022-01-10 21:35:25.554411,2022-01-10 16:28:29-05:00,17165,6UHiLngN9dC6urzRyeVN8vZKZF8vS3m2tceWBhtaszMr,FkghsbDbzxQKhLuUgquUvCiohvQHr2SpsQx5D8qq1kXV,DepositDirection.DEPOSIT(),0,0,2000000
2022-01-10 21:35:25.554411,2022-01-10 16:28:53-05:00,17166,3nY1GdTxZLu5vBVWHC5CVeaLwZs9jpfyFP7H1JNcFLxJ,EBWD5FcQjmXDTRXorEpANNiPj3AnCTZWXuXQS9Cdfm4g,DepositDirection.WITHDRAW(),4744165760,7021000000,4744000000
2022-01-10 21:35:25.554411,2022-01-10 16:33:55-05:00,17167,GNAF5idAQPZCjLWocauGts1j3phyrriRBdJtjEiaBM5M,CW9bc15d5wjq9cQtmVcc71rXi7irZarHMhe1CRMhXAMk,DepositDirection.DEPOSIT(),0,0,1000000
2022-01-10 21:49:27.369064,2022-01-10 16:49:13-05:00,17168,DPCM4jXqnyMWkmHrDyhiY8sqJAgWnFa3aYigTKaLQj1j,6jWwZYXLAMqDvSFUYv4UTzt9GYVMW8bhisfvhXMX3tZh,DepositDirection.DEPOSIT(),499826187,500000000,1500000000
2022-01-10 21:55:55.086699,2022-01-10 16:51:57-05:00,17169,93AGRvU9jLpCXC9sLZbbzUWE5CAxqyrmDC5uErSVbBfP,F6pPSqZa7UFyrwWQNtkriEjZoCaqogqpKsUg4xPVxAsU,DepositDirection.WITHDRAW(),469343915,433650000,469340000
